"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"acepack","acepack","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.4.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"ade4","ade4","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.7-18",NA,"R (>= 2.10)","graphics, grDevices, methods, stats, utils, MASS, pixmap, sp",NA,"ade4TkGUI, adegraphics, adephylo, ape, CircStats, deldir,
lattice, spdep, splancs, waveslim, progress, foreach, parallel,
doParallel, iterators",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"admisc","admisc","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.23",NA,"R (>= 3.5.0)","methods",NA,"QCA (>= 3.7)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"adr","adr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0.225",NA,"methods","httr, uuid, Matrix",NA,"stringr, testthat, knitr",NA,"AGPL (>= 3.0) + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"AICcmodavg","AICcmodavg","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.3-1",NA,"R (>= 3.2.0)","methods, stats, graphics, lattice, MASS, Matrix, nlme, stats4,
survival, unmarked, VGAM, xtable",NA,"betareg, coxme, fitdistrplus, glmmTMB, lavaan, lme4, maxlike,
nnet, ordinal, pscl, R2jags, R2OpenBUGS, R2WinBUGS, jagsUI,
lmerTest",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"alphahull","alphahull","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","2.2",NA,NA,"ggplot2, tripack, R.utils, sgeostat, spatstat, splancs",NA,NA,NA,"file LICENSE",NA,"yes",NA,NA,"yes","4.0.2"
"anytime","anytime","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"ape","ape","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","5.5",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"arrangements","arrangements","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1.9",NA,"R (>= 3.4.0)","gmp, methods, R6",NA,"foreach, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"askpass","askpass","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"assertthat","assertthat","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.0"
"backports","backports","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"base64enc","base64enc","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.0"
"bayesm","bayesm","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","3.1-4",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.0), utils, stats, graphics, grDevices","Rcpp, RcppArmadillo","knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"bayesplot","bayesplot","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.8.1",NA,"R (>= 3.1.0)","dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",NA,"ggfortify, gridExtra (>= 2.2.1), hexbin, knitr (>= 1.16), loo
(>= 2.0.0), RColorBrewer, rmarkdown (>= 1.0.0), rstan (>=
2.17.1), rstanarm (>= 2.17.4), rstantools (>= 1.5.0), scales,
shinystan (>= 2.3.0), survival, testthat (>= 2.0.0), vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.3"
"beeswarm","beeswarm","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.0.3"
"BH","BH","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.75.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.0.3"
"bigassertr","bigassertr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.1.5",NA,NA,NA,NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"bigparallelr","bigparallelr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","0.3.2",NA,"foreach","bigassertr (>= 0.1.1), doParallel, flock, parallel,
parallelly, RhpcBLASctl",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.3"
"bigstatsr","bigstatsr","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.5.6",NA,"R (>= 3.3)","bigassertr (>= 0.1.1), bigparallelr (>= 0.2.3), cowplot,
foreach, ggplot2 (>= 3.0), graphics, methods, ps (>= 1.4),
Rcpp, RSpectra, stats, tibble, utils","Rcpp, RcppArmadillo, rmio (>= 0.1.3)","bigmemory (>= 4.5.33), bigreadr (>= 0.2), covr, data.table,
dplyr, glmnet, hexbin, memuse, ModelMetrics, ppcor,
RhpcBLASctl, spelling (>= 1.2), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"bit","bit","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"bit64","bit64","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"bitops","bitops","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"blob","blob","/home/kassel/R/x86_64-pc-linux-gnu-library/4.0","1.2.2",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
